"Time","value"
2025-07-30 12:51:30,300.4 K
2025-07-30 12:51:45,300.4 K
2025-07-30 12:52:00,300.4 K
2025-07-30 12:52:15,300.4 K
2025-07-30 12:52:30,300.4 K
2025-07-30 12:52:45,300.4 K
2025-07-30 12:53:00,300.4 K
2025-07-30 12:53:15,300.4 K
2025-07-30 12:53:30,300.4 K
2025-07-30 12:53:45,300.4 K
2025-07-30 12:54:00,300.4 K
2025-07-30 12:54:15,300.4 K
2025-07-30 12:54:30,300.4 K
2025-07-30 12:54:45,300.4 K
2025-07-30 12:55:00,300.4 K
2025-07-30 12:55:30,300.4 K
2025-07-30 12:55:45,300.4 K
2025-07-30 12:56:00,300.4 K
2025-07-30 12:56:15,300.4 K
2025-07-30 12:56:30,300.4 K
2025-07-30 12:56:45,300.4 K
2025-07-30 12:57:00,300.4 K
2025-07-30 12:57:15,300.4 K
2025-07-30 12:57:30,300.4 K
2025-07-30 12:57:45,300.4 K
2025-07-30 12:58:00,300.4 K
2025-07-30 12:58:15,300.5 K
2025-07-30 12:58:30,300.4 K
2025-07-30 12:58:45,300.5 K
2025-07-30 12:59:00,300.5 K
2025-07-30 12:59:15,300.5 K
2025-07-30 12:59:30,300.4 K
2025-07-30 12:59:45,300.5 K
2025-07-30 13:00:00,300.5 K
2025-07-30 13:00:15,300.5 K
2025-07-30 13:00:30,300.5 K
2025-07-30 13:00:45,300.5 K
2025-07-30 13:01:00,300.5 K
2025-07-30 13:01:15,300.5 K
2025-07-30 13:01:30,300.5 K
2025-07-30 13:01:45,300.5 K
2025-07-30 13:02:00,300.5 K
2025-07-30 13:02:15,300.5 K
2025-07-30 13:02:30,300.5 K
2025-07-30 13:02:45,300.5 K
2025-07-30 13:03:00,300.5 K
2025-07-30 13:03:15,300.5 K
2025-07-30 13:03:30,300.5 K
2025-07-30 13:03:45,300.5 K
2025-07-30 13:04:00,300.5 K
2025-07-30 13:04:15,300.5 K
2025-07-30 13:04:30,300.5 K
2025-07-30 13:04:45,300.5 K
2025-07-30 13:05:00,300.5 K
2025-07-30 13:05:15,300.5 K
2025-07-30 13:05:30,300.6 K
2025-07-30 13:05:45,300.6 K
2025-07-30 13:06:00,300.6 K
2025-07-30 13:06:15,300.5 K
2025-07-30 13:06:30,300.6 K
2025-07-30 13:06:45,300.6 K
2025-07-30 13:07:00,300.6 K
2025-07-30 13:07:15,300.6 K
2025-07-30 13:07:30,300.6 K
2025-07-30 13:07:45,300.6 K
2025-07-30 13:08:00,300.6 K
2025-07-30 13:08:15,300.6 K
2025-07-30 13:08:30,300.6 K
2025-07-30 13:08:45,300.6 K
2025-07-30 13:09:00,300.6 K
2025-07-30 13:09:15,300.6 K
2025-07-30 13:09:30,300.6 K
2025-07-30 13:09:45,300.6 K
2025-07-30 13:10:00,300.6 K
2025-07-30 13:10:15,300.7 K
2025-07-30 13:10:30,300.7 K
2025-07-30 13:10:45,300.7 K
2025-07-30 13:11:00,300.7 K
2025-07-30 13:11:15,300.7 K
2025-07-30 13:11:30,300.7 K
2025-07-30 13:11:45,300.7 K
2025-07-30 13:12:00,300.7 K
2025-07-30 13:12:15,300.7 K
2025-07-30 13:12:30,300.6 K
2025-07-30 13:12:45,300.1 K
2025-07-30 13:13:00,299.9 K
2025-07-30 13:13:15,299.7 K
2025-07-30 13:13:30,299.7 K
2025-07-30 13:13:45,299.7 K
2025-07-30 13:14:00,299.9 K
2025-07-30 13:14:15,299.9 K
2025-07-30 13:14:30,300.1 K
2025-07-30 13:14:45,300.1 K
2025-07-30 13:15:00,300.1 K
2025-07-30 13:15:15,300.2 K
2025-07-30 13:15:30,300.2 K
2025-07-30 13:15:45,300.3 K
2025-07-30 13:16:00,300.3 K
2025-07-30 13:16:15,300.4 K
2025-07-30 13:16:30,300.3 K
2025-07-30 13:16:45,300.3 K
2025-07-30 13:17:00,300.4 K
2025-07-30 13:17:15,300.4 K
2025-07-30 13:17:30,300.3 K
2025-07-30 13:17:45,300.3 K
2025-07-30 13:18:00,300.4 K
2025-07-30 13:18:30,300.4 K
2025-07-30 13:18:45,300.4 K
2025-07-30 13:19:00,300.4 K
2025-07-30 13:19:15,300.4 K
2025-07-30 13:19:30,300.5 K
2025-07-30 13:19:45,300.5 K
2025-07-30 13:20:00,300.5 K
2025-07-30 13:20:15,300.5 K
2025-07-30 13:20:30,300.5 K
2025-07-30 13:20:45,300.5 K
2025-07-30 13:21:00,300.5 K
2025-07-30 13:21:15,300.6 K
2025-07-30 13:21:30,300.6 K
2025-07-30 13:21:45,300.6 K
2025-07-30 13:22:00,300.6 K
2025-07-30 13:22:15,300.6 K
2025-07-30 13:22:30,300.7 K
2025-07-30 13:22:45,300.7 K
2025-07-30 13:23:00,300.7 K
2025-07-30 13:23:15,300.7 K
2025-07-30 13:23:30,300.7 K
2025-07-30 13:23:45,300.8 K
2025-07-30 13:24:00,300.8 K
2025-07-30 13:24:15,299.9 K
2025-07-30 13:24:30,299.8 K
2025-07-30 13:24:45,299.7 K
2025-07-30 13:25:00,299.5 K
2025-07-30 13:25:15,299.3 K
2025-07-30 13:25:30,298.8 K
2025-07-30 13:25:45,298.4 K
2025-07-30 13:26:00,297.7 K
2025-07-30 13:26:15,296.8 K
2025-07-30 13:26:30,296.1 K
2025-07-30 13:26:45,294.2 K
2025-07-30 13:27:00,292.5 K
2025-07-30 13:27:15,290.7 K
2025-07-30 13:27:30,288.7 K
2025-07-30 13:27:45,285.1 K
2025-07-30 13:28:00,282.1 K
2025-07-30 13:28:15,279.3 K
2025-07-30 13:28:30,276.7 K
2025-07-30 13:28:45,273.6 K
2025-07-30 13:29:00,271.4 K
2025-07-30 13:29:15,269.0 K
2025-07-30 13:29:30,266.9 K
2025-07-30 13:29:45,264.8 K
2025-07-30 13:30:00,262.1 K
2025-07-30 13:30:15,258.5 K
2025-07-30 13:30:30,256.0 K
2025-07-30 13:30:45,252.9 K
2025-07-30 13:31:00,249.9 K
2025-07-30 13:31:15,247.4 K
2025-07-30 13:31:30,245.7 K
2025-07-30 13:31:45,242.2 K
2025-07-30 13:32:00,239.0 K
2025-07-30 13:32:15,235.3 K
2025-07-30 13:32:30,233.6 K
2025-07-30 13:32:45,230.6 K
2025-07-30 13:33:00,227.7 K
2025-07-30 13:33:15,224.9 K
2025-07-30 13:33:30,222.1 K
2025-07-30 13:33:45,219.9 K
2025-07-30 13:34:00,217.3 K
2025-07-30 13:34:15,215.3 K
2025-07-30 13:34:30,212.3 K
2025-07-30 13:34:45,210.4 K
2025-07-30 13:35:00,207.4 K
2025-07-30 13:35:15,204.9 K
2025-07-30 13:35:30,202.8 K
2025-07-30 13:35:45,200.8 K
2025-07-30 13:36:00,198.9 K
2025-07-30 13:36:15,197.0 K
2025-07-30 13:36:30,194.1 K
2025-07-30 13:36:45,191.6 K
2025-07-30 13:37:00,189.3 K
2025-07-30 13:37:15,186.8 K
2025-07-30 13:37:30,185.1 K
2025-07-30 13:37:45,182.3 K
2025-07-30 13:38:00,180.8 K
2025-07-30 13:38:30,175.4 K
2025-07-30 13:38:45,173.6 K
2025-07-30 13:39:00,172.2 K
2025-07-30 13:39:15,169.7 K
2025-07-30 13:39:30,167.5 K
2025-07-30 13:39:45,166.1 K
2025-07-30 13:40:00,163.9 K
2025-07-30 13:40:30,160.3 K
2025-07-30 13:40:45,158.8 K
2025-07-30 13:41:00,156.9 K
2025-07-30 13:41:15,154.9 K
2025-07-30 13:41:30,153.2 K
2025-07-30 13:41:45,151.2 K
2025-07-30 13:42:00,150.9 K
2025-07-30 13:42:15,150.4 K
2025-07-30 13:42:30,149.8 K
2025-07-30 13:42:45,148.2 K
2025-07-30 13:43:00,147.5 K
2025-07-30 13:43:15,145.5 K
2025-07-30 13:43:30,141.5 K
2025-07-30 13:43:45,138.6 K
2025-07-30 13:44:00,136.5 K
2025-07-30 13:44:15,133.7 K
2025-07-30 13:44:30,130.3 K
